id,text
1991960100853129582,"@Qhuesten (And by ""not declared"" I mean after the parameter list... there were no type declarations inside the actual parameter list)."
1991961062653190334,@slimjimmy_dev Unwrap is no different then assert. Could have happened in any language.
1991966511905566734,"@locust9 Imagine a game like GTA, but you are a SQUIRREL and the cars are actually MADE OUT OF LICORICE"
1991966983181774856,Men are the real romantics
1991967306113810561,@Jonathan_Blow https://t.co/WpRJcrUpUC
1991967507075465261,@eloffd @slimjimmy_dev Asserts get turned off in production almost always. But code would have then crashed on trying to use whatever the assert was warning about.
1991968682076148030,"@Jonathan_Blow if only others in positions similar to yourself would also be so willing to speak up Mr Blow, cus that guy is a fucking asshole"
1991968942332751943,@SeedOilDsrspctr It's honestly a great argument for why some people should learn to be quiet. She should have never had a convo where she said things like that within earshot of him. Sorry but if you want an actual man you need to act like an actual lady and vice versa.
1991976625446228019,"@Jonathan_Blow Computer Science gang, what's going on here? https://t.co/2ELsICCZKS"
1991978270439739406,@hectavex Nobody pointed out the obvious problem in the first tweet? Amazing.
